onset	duration	label	type	connector	trial	unusable_trial	classification	comments
63239.628771889	0.490555677468365	ecog_L101	ECOG	1	1	0	clean	1
63245.6092243277	0.468877916755446	ecog_L101	ECOG	1	2	0	clean	2
63251.5137785723	0.554085127478174	ecog_L101	ECOG	1	3	0	clean	3
NaN	NaN	ecog_L101	ECOG	1	4	1	clean	4
63264.5501262482	0.633280829657451	ecog_L101	ECOG	1	5	0	clean	5
0	0	ecog_L101		0	6	0		
0	0	ecog_L101		0	7	0		
0	0	ecog_L101		0	8	0		
0	0	ecog_L101		0	9	0		
0	0	ecog_L101		0	10	0		
0	0	ecog_L101		0	11	0		
0	0	ecog_L101		0	12	0		
0	0	ecog_L101		0	13	0		
0	0	ecog_L101		0	14	0		
0	0	ecog_L101		0	15	0		
0	0	ecog_L101		0	16	0		
0	0	ecog_L101		0	17	0		
0	0	ecog_L101		0	18	0		
0	0	ecog_L101		0	19	0		
0	0	ecog_L101		0	20	0		
0	0	ecog_L101		0	21	0		
0	0	ecog_L101		0	22	0		
0	0	ecog_L101		0	23	0		
0	0	ecog_L101		0	24	0		
0	0	ecog_L101		0	25	0		
0	0	ecog_L101		0	26	0		
0	0	ecog_L101		0	27	0		
0	0	ecog_L101		0	28	0		
0	0	ecog_L101		0	29	0		
0	0	ecog_L101		0	30	0		
0	0	ecog_L101		0	31	0		
0	0	ecog_L101		0	32	0		
0	0	ecog_L101		0	33	0		
0	0	ecog_L101		0	34	0		
0	0	ecog_L101		0	35	0		
0	0	ecog_L101		0	36	0		
0	0	ecog_L101		0	37	0		
0	0	ecog_L101		0	38	0		
0	0	ecog_L101		0	39	0		
0	0	ecog_L101		0	40	0		
0	0	ecog_L101		0	41	0		
0	0	ecog_L101		0	42	0		
0	0	ecog_L101		0	43	0		
0	0	ecog_L101		0	44	0		
0	0	ecog_L101		0	45	0		
0	0	ecog_L101		0	46	0		
0	0	ecog_L101		0	47	0		
0	0	ecog_L101		0	48	0		
0	0	ecog_L101		0	49	0		
0	0	ecog_L101		0	50	0		
0	0	ecog_L101		0	51	0		
0	0	ecog_L101		0	52	0		
0	0	ecog_L101		0	53	0		
0	0	ecog_L101		0	54	0		
0	0	ecog_L101		0	55	0		
0	0	ecog_L101		0	56	0		
0	0	ecog_L101		0	57	0		
0	0	ecog_L101		0	58	0		
0	0	ecog_L101		0	59	0		
0	0	ecog_L101		0	60	0		
0	0	ecog_L101		0	61	0		
0	0	ecog_L101		0	62	0		
0	0	ecog_L101		0	63	0		
0	0	ecog_L101		0	64	0		
0	0	ecog_L101		0	65	0		
0	0	ecog_L101		0	66	0		
0	0	ecog_L101		0	67	0		
0	0	ecog_L101		0	68	0		
0	0	ecog_L101		0	69	0		
0	0	ecog_L101		0	70	0		
0	0	ecog_L101		0	71	0		
0	0	ecog_L101		0	72	0		
0	0	ecog_L101		0	73	0		
0	0	ecog_L101		0	74	0		
0	0	ecog_L101		0	75	0		
0	0	ecog_L101		0	76	0		
0	0	ecog_L101		0	77	0		
0	0	ecog_L101		0	78	0		
0	0	ecog_L101		0	79	0		
0	0	ecog_L101		0	80	0		
0	0	ecog_L101		0	81	0		
0	0	ecog_L101		0	82	0		
0	0	ecog_L101		0	83	0		
0	0	ecog_L101		0	84	0		
0	0	ecog_L101		0	85	0		
0	0	ecog_L101		0	86	0		
0	0	ecog_L101		0	87	0		
0	0	ecog_L101		0	88	0		
0	0	ecog_L101		0	89	0		
0	0	ecog_L101		0	90	0		
0	0	ecog_L101		0	91	0		
0	0	ecog_L101		0	92	0		
0	0	ecog_L101		0	93	0		
